return_id,order_item_id,return_reason,return_date,refund_amount
76,75977,Wrong size,2024-11-08,228.71
77,33792,Not as described,2023-06-12,233.15
78,87581,Item defective,2024-07-16,16.21
79,43404,Wrong size,2024-10-15,273.83
80,80140,Item defective,2026-05-02,379.18
81,20467,Not as described,2026-02-18,484.83
82,52027,Wrong size,2023-11-05,36.41
83,22351,Not as described,2023-06-06,485.07
84,96835,Not as described,2023-11-02,93.11
85,89358,Arrived damaged,2023-07-11,139.14
86,15647,Changed my mind,2024-06-21,349.57
87,72414,Not as described,2023-08-02,493.71
88,44650,Wrong size,2023-08-27,145.46
89,43472,Arrived damaged,2023-09-30,447.5
90,16388,Wrong size,2024-12-24,363.64
91,69232,Item defective,2025-04-22,278.92
92,38874,Not as described,2025-05-02,426.82
93,45355,Wrong size,2024-04-20,106.32
94,63560,Item defective,2023-08-21,497.36
95,84169,Changed my mind,2023-05-02,305.61
96,49632,Arrived damaged,2025-09-02,68.29
97,30575,Wrong size,2023-02-11,171.48
98,95291,Wrong size,2024-07-16,217.1
99,9962,Not as described,2025-03-16,386.6
100,97434,Changed my mind,2024-04-06,290.23
101,40229,Item defective,2023-11-11,416.67
102,34219,Arrived damaged,2023-05-06,434.81
103,55527,Arrived damaged,2024-05-22,270.92
104,82569,Arrived damaged,2023-12-15,310.12
105,49795,Wrong size,2024-12-31,235.66
106,28440,Changed my mind,2024-04-05,461.0
107,35724,Arrived damaged,2023-11-22,381.57
108,48379,Item defective,2024-02-23,106.33
109,20259,Changed my mind,2025-01-16,239.14
110,98139,Arrived damaged,2025-10-18,255.28
111,72726,Arrived damaged,2024-07-03,456.89
112,7521,Not as described,2025-07-04,463.29
113,87220,Changed my mind,2023-04-15,459.11
114,29287,Arrived damaged,2025-11-18,261.84
115,4611,Changed my mind,2024-11-02,327.17
116,63893,Item defective,2025-05-07,229.62
117,7478,Arrived damaged,2023-07-05,198.3
118,71181,Not as described,2023-04-17,152.72
119,24186,Arrived damaged,2024-03-12,105.55
120,15625,Wrong size,2024-12-02,386.28
121,36052,Item defective,2023-09-01,135.9
122,20783,Not as described,2025-08-02,483.52
123,36973,Arrived damaged,2026-07-01,5.39
124,95525,Item defective,2025-07-14,25.0
125,82918,Arrived damaged,2026-02-01,195.45
126,23282,Not as described,2023-12-11,235.78
127,59114,Arrived damaged,2026-03-25,343.17
128,18352,Changed my mind,2024-07-23,387.52
129,63598,Item defective,2023-11-27,397.08
130,40092,Arrived damaged,2024-04-18,99.14
131,92254,Wrong size,2023-03-05,161.49
132,51460,Arrived damaged,2024-02-28,477.69
133,91601,Not as described,2024-05-14,36.22
134,40293,Changed my mind,2025-01-03,55.46
135,56191,Not as described,2024-08-26,236.32
136,83170,Arrived damaged,2024-10-06,397.7
137,26369,Item defective,2026-05-14,132.19
138,12303,Changed my mind,2024-03-27,248.5
139,52727,Not as described,2024-12-09,56.37
140,75522,Item defective,2025-08-02,381.8
141,8033,Arrived damaged,2023-05-08,74.55
142,89442,Wrong size,2025-02-10,362.96
143,12389,Arrived damaged,2025-10-13,214.44
144,52462,Arrived damaged,2023-12-20,160.91
145,81136,Arrived damaged,2024-11-26,360.83
146,58670,Item defective,2024-04-19,495.66
147,88588,Changed my mind,2025-04-02,261.44
148,81498,Changed my mind,2024-08-09,331.51
149,31141,Wrong size,2024-04-24,206.08
150,43761,Arrived damaged,2023-02-20,269.33
151,79676,Item defective,2024-12-06,175.02
152,79957,Arrived damaged,2023-05-18,34.86
153,58122,Arrived damaged,2025-03-30,31.93
154,85474,Item defective,2023-04-17,324.06
155,21467,Wrong size,2025-02-23,28.09
156,84564,Not as described,2024-02-09,191.44
157,6521,Not as described,2025-12-31,143.64
158,82425,Item defective,2025-10-27,317.07
159,72532,Item defective,2024-11-09,158.61
160,69421,Arrived damaged,2023-07-01,27.28
161,98459,Not as described,2025-10-12,72.09
162,46569,Item defective,2025-03-23,356.78
163,8752,Changed my mind,2025-06-13,9.7
164,40037,Wrong size,2025-03-21,139.02
165,90372,Item defective,2026-06-14,420.22
166,99855,Arrived damaged,2023-11-22,348.06
167,36062,Not as described,2024-08-18,396.78
168,63444,Not as described,2024-07-08,140.38
169,21772,Item defective,2025-09-15,140.77
170,29577,Not as described,2025-02-13,259.27
171,26576,Item defective,2026-02-17,432.87
172,97297,Not as described,2025-08-16,154.37
173,28821,Item defective,2025-07-27,460.23
174,95617,Arrived damaged,2023-11-01,245.36
175,49592,Wrong size,2024-08-12,52.02
176,24399,Item defective,2024-12-18,420.2
177,43530,Arrived damaged,2025-06-06,301.06
178,66584,Item defective,2026-06-23,86.57
179,81027,Wrong size,2024-12-24,221.83
180,69354,Changed my mind,2023-07-20,96.98
181,4157,Item defective,2023-09-11,344.25
182,69433,Changed my mind,2023-09-12,318.04
183,61098,Arrived damaged,2024-03-24,435.76
184,84896,Changed my mind,2023-11-06,158.37
185,76167,Changed my mind,2026-05-03,105.06
186,19598,Arrived damaged,2024-12-14,396.93
187,19546,Wrong size,2023-05-04,282.99
188,6274,Wrong size,2026-02-10,353.96
189,13836,Arrived damaged,2026-03-21,8.05
190,54217,Not as described,2024-01-15,18.26
191,73215,Item defective,2026-05-16,10.52
192,25596,Arrived damaged,2025-06-08,50.81
193,3660,Changed my mind,2025-01-05,143.22
194,31131,Changed my mind,2023-08-17,31.58
195,97159,Item defective,2024-03-11,99.63
196,48172,Arrived damaged,2025-03-25,365.14
197,8107,Not as described,2026-01-17,307.19
198,8917,Changed my mind,2025-12-16,419.85
199,89455,Wrong size,2025-05-07,430.66
200,91013,Changed my mind,2024-12-27,411.91
201,75922,Wrong size,2025-03-27,188.07
202,158,Not as described,2023-10-18,468.19
203,28411,Wrong size,2025-08-04,432.93
204,38342,Changed my mind,2023-02-07,296.71
205,36456,Changed my mind,2025-03-07,478.51
206,65551,Item defective,2025-08-02,43.5
207,75153,Arrived damaged,2023-10-18,158.11
208,74506,Arrived damaged,2025-11-22,296.7
209,26758,Changed my mind,2024-03-25,344.7
210,71920,Wrong size,2023-07-18,144.98
211,38766,Wrong size,2026-02-19,310.11
212,71027,Changed my mind,2023-08-25,330.64
213,66999,Wrong size,2025-04-21,172.83
214,23847,Changed my mind,2024-01-30,272.12
215,2718,Wrong size,2023-11-16,336.2
216,46416,Item defective,2024-06-12,107.76
217,43338,Changed my mind,2026-01-18,229.03
218,48210,Item defective,2023-08-15,250.99
219,92553,Item defective,2026-05-28,284.52
220,28645,Arrived damaged,2024-10-22,291.56
221,73779,Not as described,2024-01-29,469.13
222,58372,Arrived damaged,2023-03-26,201.08
223,78756,Item defective,2024-10-22,89.72
224,7704,Item defective,2025-04-28,365.88
225,42961,Item defective,2024-09-12,111.92
226,33708,Changed my mind,2023-10-14,475.46
227,53963,Changed my mind,2025-04-03,397.94
228,80533,Changed my mind,2026-01-28,284.97
229,27883,Not as described,2023-05-24,223.79
230,69278,Wrong size,2025-11-13,307.66
231,35679,Changed my mind,2023-04-15,324.53
232,67289,Changed my mind,2023-06-16,282.16
233,34495,Arrived damaged,2024-12-17,106.4
234,89991,Item defective,2024-02-09,61.99
235,49804,Changed my mind,2025-05-06,167.35
236,15029,Changed my mind,2025-04-05,483.44
237,77900,Changed my mind,2023-10-19,380.18
238,87200,Arrived damaged,2024-10-09,99.24
239,21179,Wrong size,2023-04-23,38.78
240,65039,Arrived damaged,2025-10-09,414.51
241,37448,Changed my mind,2023-12-26,56.28
242,17425,Not as described,2024-09-18,467.75
243,13802,Not as described,2026-02-12,49.64
244,39613,Item defective,2023-07-09,40.55
245,89668,Changed my mind,2024-06-03,307.87
246,50456,Wrong size,2024-05-14,306.42
247,14741,Wrong size,2025-07-22,294.91
248,92751,Item defective,2023-08-20,53.55
249,64701,Changed my mind,2024-05-14,68.57
250,422,Changed my mind,2026-06-13,68.14
251,72799,Arrived damaged,2024-12-11,321.97
252,23022,Changed my mind,2024-11-15,461.49
253,50770,Wrong size,2025-12-28,249.32
254,84125,Changed my mind,2025-08-31,299.07
255,88190,Wrong size,2025-09-18,75.71
256,98109,Arrived damaged,2025-11-16,268.1
257,56917,Changed my mind,2025-12-31,388.06
258,62821,Arrived damaged,2024-01-19,240.16
259,77172,Not as described,2023-07-20,200.78
260,92668,Item defective,2025-07-30,351.09
261,39184,Wrong size,2023-10-22,400.76
262,86376,Item defective,2023-05-19,462.46
263,89576,Not as described,2024-05-20,154.11
264,45252,Changed my mind,2024-08-31,250.83
265,48652,Item defective,2025-01-10,92.96
266,56692,Wrong size,2024-09-02,316.5
267,45201,Not as described,2024-12-22,43.84
268,74965,Changed my mind,2026-03-16,195.0
269,32507,Changed my mind,2023-09-20,234.04
270,20421,Changed my mind,2026-02-14,395.7
271,5216,Wrong size,2025-12-11,355.55
272,37935,Wrong size,2025-02-19,131.59
273,78589,Not as described,2026-06-30,402.34
274,65346,Arrived damaged,2024-12-09,234.58
275,57806,Not as described,2025-10-23,470.47
276,14296,Wrong size,2025-11-08,152.32
277,4205,Not as described,2025-04-21,489.85
278,43229,Changed my mind,2023-02-21,97.7
279,91099,Wrong size,2026-06-13,281.95
280,41212,Changed my mind,2023-04-16,170.55
281,26797,Not as described,2023-01-12,229.24
282,40381,Not as described,2024-06-17,207.12
283,9702,Arrived damaged,2025-05-09,402.87
284,96519,Changed my mind,2024-04-04,405.75
285,16925,Item defective,2023-07-20,12.86
286,98130,Arrived damaged,2024-09-01,374.2
287,98522,Arrived damaged,2023-09-06,227.25
288,82397,Wrong size,2026-06-02,116.71
289,90715,Changed my mind,2024-10-24,393.01
290,64996,Item defective,2024-01-13,33.01
291,61030,Not as described,2023-03-02,338.58
292,65821,Arrived damaged,2023-05-15,255.43
293,33704,Arrived damaged,2024-01-27,337.51
294,38083,Not as described,2023-09-04,254.82
295,88889,Changed my mind,2023-10-22,69.79
296,14850,Wrong size,2023-11-29,97.3
297,1734,Changed my mind,2023-06-01,81.46
298,11484,Wrong size,2025-03-02,9.53
299,94015,Wrong size,2025-08-26,185.17
300,47981,Arrived damaged,2023-08-05,330.97
301,7275,Item defective,2023-07-29,123.2
302,47754,Not as described,2024-12-08,85.1
303,17270,Arrived damaged,2024-02-03,79.74
304,2814,Item defective,2025-06-14,322.82
305,32257,Not as described,2024-06-08,233.43
306,43742,Arrived damaged,2023-06-18,415.18
307,56959,Wrong size,2023-04-30,163.93
308,4143,Arrived damaged,2025-05-10,370.9
309,50851,Item defective,2024-10-09,373.53
310,53200,Not as described,2025-01-28,438.69
311,31492,Wrong size,2026-06-09,498.82
312,91154,Arrived damaged,2024-12-27,285.76
313,71825,Not as described,2025-04-14,212.22
314,3690,Item defective,2023-11-15,293.51
315,53207,Not as described,2023-04-14,256.7
316,51309,Item defective,2026-02-11,92.37
317,80528,Arrived damaged,2023-04-18,189.24
318,43538,Not as described,2025-12-03,276.07
319,49249,Item defective,2023-07-10,322.79
320,48259,Not as described,2024-04-02,420.67
321,51022,Not as described,2023-07-08,61.52
322,48465,Arrived damaged,2025-10-26,65.46
323,13149,Not as described,2026-06-07,35.59
324,57722,Wrong size,2023-01-18,228.32
325,82554,Changed my mind,2024-06-18,174.77
326,41620,Item defective,2025-09-17,302.71
327,1122,Wrong size,2025-07-15,250.46
328,78675,Arrived damaged,2025-10-03,458.06
329,41552,Item defective,2026-03-21,467.38
330,57969,Arrived damaged,2024-11-10,170.18
331,53393,Wrong size,2023-05-01,219.47
332,43005,Not as described,2025-06-15,326.96
333,71434,Not as described,2023-10-29,271.53
334,43366,Wrong size,2023-05-01,116.01
335,67399,Wrong size,2023-03-07,441.63
336,36128,Not as described,2023-05-08,280.18
337,78700,Changed my mind,2024-05-28,121.79
338,78871,Arrived damaged,2023-05-14,26.91
339,84097,Arrived damaged,2023-04-28,239.64
340,59319,Arrived damaged,2023-02-23,266.64
341,65094,Arrived damaged,2023-07-26,498.77
342,15921,Item defective,2024-09-19,92.9
343,73181,Arrived damaged,2026-01-21,64.71
344,28882,Changed my mind,2026-03-26,16.3
345,90320,Not as described,2024-07-24,180.77
346,72444,Item defective,2026-03-06,430.24
347,44195,Item defective,2025-05-23,122.24
348,3520,Arrived damaged,2025-08-30,423.97
349,62816,Arrived damaged,2026-01-11,338.58
350,44462,Item defective,2024-10-21,229.08
351,2772,Wrong size,2024-05-27,286.38
352,10836,Wrong size,2024-02-12,112.76
353,48168,Item defective,2025-03-31,180.44
354,48958,Arrived damaged,2026-03-28,409.52
355,88410,Changed my mind,2023-03-22,417.43
356,93496,Changed my mind,2026-06-17,427.15
357,6516,Arrived damaged,2025-04-30,203.0
358,24826,Not as described,2025-04-02,138.47
359,52630,Not as described,2024-07-20,72.24
360,39691,Item defective,2025-05-16,310.79
361,35935,Not as described,2023-08-10,499.31
362,16208,Arrived damaged,2026-06-03,239.19
363,31113,Wrong size,2023-01-18,393.8
364,77620,Arrived damaged,2025-02-12,17.18
365,24804,Item defective,2023-12-22,488.75
366,82195,Arrived damaged,2024-09-08,437.94
367,80505,Not as described,2026-06-18,277.32
368,59105,Wrong size,2024-07-26,137.88
369,55525,Arrived damaged,2024-04-08,76.47
370,9824,Arrived damaged,2025-01-23,361.99
371,8704,Arrived damaged,2025-06-12,160.21
372,5813,Wrong size,2023-08-14,127.29
373,51968,Not as described,2024-03-21,440.71
374,10948,Arrived damaged,2026-01-16,386.39
375,71410,Changed my mind,2025-02-20,13.61
376,98877,Changed my mind,2023-10-14,136.64
377,10088,Arrived damaged,2026-06-28,248.27
378,26753,Item defective,2023-11-03,213.67
379,8384,Item defective,2024-08-14,72.27
380,15346,Arrived damaged,2025-11-19,304.07
381,50227,Item defective,2024-08-26,294.59
382,32233,Not as described,2026-01-25,54.08
383,63033,Changed my mind,2023-02-18,321.66
384,42060,Wrong size,2024-02-17,225.62
385,91302,Wrong size,2023-11-13,169.42
386,15656,Wrong size,2024-09-14,478.19
387,5302,Item defective,2024-01-31,409.32
388,50761,Wrong size,2025-09-17,143.38
389,3349,Item defective,2025-02-09,222.32
390,33290,Item defective,2024-09-30,51.65
391,93641,Not as described,2023-07-16,472.03
392,61413,Changed my mind,2024-04-16,362.93
393,55018,Not as described,2023-03-03,92.06
394,73759,Wrong size,2024-09-04,83.89
395,40158,Wrong size,2023-06-29,362.27
396,76845,Not as described,2023-06-26,443.55
397,43289,Changed my mind,2024-03-23,356.68
398,81374,Arrived damaged,2025-08-22,375.52
399,34440,Changed my mind,2026-06-21,51.46
400,2410,Not as described,2023-07-21,201.11
401,46668,Wrong size,2025-02-21,48.56
402,81649,Arrived damaged,2025-01-02,77.49
403,99906,Item defective,2023-05-08,102.65
404,85917,Not as described,2025-08-06,46.34
405,17651,Arrived damaged,2025-08-25,237.13
406,68003,Item defective,2025-09-08,181.7
407,13453,Wrong size,2026-02-05,238.99
408,39489,Changed my mind,2023-09-15,48.65
409,60727,Not as described,2026-01-21,185.66
410,20024,Changed my mind,2025-07-05,328.07
411,70935,Not as described,2024-07-14,424.64
412,51715,Not as described,2026-03-02,440.71
413,16639,Item defective,2023-10-07,426.17
414,60339,Not as described,2025-12-19,440.26
415,34400,Not as described,2026-06-11,267.96
416,84839,Item defective,2026-02-08,498.64
417,23826,Item defective,2025-09-30,391.45
418,34150,Changed my mind,2024-09-03,430.6
419,25848,Arrived damaged,2026-02-17,397.22
420,35684,Not as described,2025-05-19,210.83
421,95806,Not as described,2026-01-16,319.07
422,9632,Wrong size,2023-11-06,390.71
423,81583,Wrong size,2024-07-18,189.76
424,16505,Item defective,2025-11-02,305.39
425,28147,Not as described,2026-01-18,126.28
426,73674,Item defective,2023-06-24,186.08
427,9256,Not as described,2023-04-23,243.19
428,21436,Item defective,2026-05-27,37.28
429,8888,Not as described,2025-03-05,373.74
430,24807,Changed my mind,2023-01-09,381.5
431,65769,Changed my mind,2024-03-14,44.05
432,44856,Changed my mind,2024-03-16,260.59
433,76472,Wrong size,2026-01-25,437.15
434,92145,Arrived damaged,2024-05-26,132.63
435,58561,Arrived damaged,2025-03-07,366.14
436,62446,Wrong size,2025-11-10,159.15
437,41167,Item defective,2023-04-02,349.99
438,42852,Wrong size,2025-10-26,319.34
439,1382,Wrong size,2024-12-22,282.79
440,83782,Changed my mind,2023-08-16,300.33
441,91910,Arrived damaged,2023-02-15,222.73
442,97484,Wrong size,2023-09-22,295.95
443,86081,Arrived damaged,2025-11-01,293.07
444,65046,Wrong size,2023-04-11,498.59
445,5348,Arrived damaged,2023-10-05,423.08
446,71075,Changed my mind,2025-12-07,355.13
447,97329,Wrong size,2023-09-09,126.07
448,15568,Arrived damaged,2025-08-30,247.74
449,42863,Wrong size,2023-10-02,138.21
450,75314,Wrong size,2024-07-04,348.22
451,32649,Not as described,2024-04-16,432.64
452,25352,Wrong size,2026-03-28,283.22
453,50253,Wrong size,2023-03-15,156.15
454,17027,Wrong size,2024-01-23,151.92
455,66509,Not as described,2025-10-26,111.61
456,89262,Not as described,2024-10-23,189.02
457,54184,Wrong size,2024-11-20,110.21
458,98734,Wrong size,2024-11-07,228.18
459,97381,Arrived damaged,2026-02-22,292.43
460,76603,Changed my mind,2026-06-29,327.0
461,41569,Changed my mind,2023-07-04,232.4
462,96669,Item defective,2024-01-04,52.92
463,29123,Arrived damaged,2026-01-06,151.3
464,99888,Not as described,2023-04-15,42.82
465,22416,Changed my mind,2025-07-30,309.05
466,83066,Not as described,2023-07-09,289.08
467,31519,Wrong size,2023-03-01,20.37
468,21386,Changed my mind,2025-08-26,297.5
469,1407,Wrong size,2025-11-03,447.38
470,21292,Wrong size,2026-03-13,201.82
471,92573,Not as described,2025-09-23,143.92
472,24560,Not as described,2023-10-07,288.31
473,45651,Changed my mind,2023-01-13,189.49
474,32722,Item defective,2026-06-09,435.62
475,9948,Not as described,2026-05-24,136.39
476,69429,Not as described,2025-05-05,299.6
477,93082,Arrived damaged,2024-11-27,418.51
478,51531,Item defective,2025-02-01,202.25
479,3603,Wrong size,2025-07-08,393.37
480,41202,Wrong size,2025-01-03,471.46
481,36364,Not as described,2024-12-23,369.2
482,9986,Wrong size,2024-07-20,49.61
483,47616,Item defective,2024-10-24,284.39
484,94687,Changed my mind,2025-03-12,104.79
485,28643,Item defective,2024-01-30,337.17
486,56996,Arrived damaged,2025-06-02,269.93
487,68412,Arrived damaged,2025-09-20,404.72
488,37961,Wrong size,2026-04-24,99.6
489,78353,Arrived damaged,2023-02-01,187.85
490,38378,Changed my mind,2026-03-05,182.9
491,63025,Arrived damaged,2025-05-04,464.24
492,38939,Not as described,2024-09-15,412.01
493,95431,Item defective,2024-10-12,32.95
494,35050,Arrived damaged,2025-11-06,494.76
495,58879,Changed my mind,2026-06-15,220.13
496,12390,Not as described,2024-07-01,48.75
497,82920,Not as described,2024-10-12,409.42
498,62388,Item defective,2023-09-01,400.33
499,93631,Not as described,2023-02-15,74.61
500,98248,Changed my mind,2023-07-18,401.14
501,8565,Not as described,2023-12-29,276.43
502,18501,Item defective,2026-01-30,83.79
503,64414,Changed my mind,2024-02-14,57.77
504,72743,Arrived damaged,2026-06-21,41.87
505,98771,Changed my mind,2024-07-22,474.59
506,42922,Not as described,2024-09-18,465.49
507,51140,Not as described,2026-06-13,401.37
508,65031,Changed my mind,2023-04-21,207.13
509,23151,Wrong size,2024-02-23,461.53
510,49486,Changed my mind,2025-11-20,178.74
511,23424,Changed my mind,2023-07-07,69.52
512,56410,Arrived damaged,2026-02-22,393.47
513,97302,Not as described,2024-11-30,430.03
514,97076,Item defective,2024-04-22,454.74
515,59465,Not as described,2024-06-23,470.4
516,82190,Not as described,2025-07-16,214.85
517,79639,Changed my mind,2023-02-08,453.79
518,12565,Changed my mind,2024-02-05,449.51
519,4722,Not as described,2023-11-21,463.16
520,86285,Wrong size,2023-09-23,390.05
521,26588,Arrived damaged,2024-05-10,436.33
522,72609,Changed my mind,2023-10-11,371.43
523,71672,Changed my mind,2026-04-23,253.59
524,92275,Not as described,2026-06-27,129.6
525,70945,Changed my mind,2025-03-20,487.53
526,30322,Item defective,2024-11-30,57.38
527,8712,Arrived damaged,2023-01-16,111.25
528,57846,Item defective,2025-12-06,385.68
529,9980,Changed my mind,2024-10-22,385.37
530,98878,Item defective,2025-12-11,18.24
531,78890,Item defective,2025-06-20,41.97
532,66122,Arrived damaged,2023-10-29,129.28
533,74011,Wrong size,2023-04-23,365.05
534,76652,Item defective,2026-05-30,289.85
535,9463,Arrived damaged,2025-06-17,458.64
536,65388,Item defective,2023-08-14,79.83
537,1487,Not as described,2025-06-20,462.82
538,98513,Wrong size,2025-03-25,439.57
539,53088,Changed my mind,2024-07-20,185.12
540,34723,Arrived damaged,2026-02-27,201.62
541,58501,Arrived damaged,2023-12-01,9.89
542,75502,Changed my mind,2023-01-05,350.01
543,48494,Changed my mind,2024-12-17,332.7
544,60644,Not as described,2024-05-13,322.75
545,89284,Wrong size,2026-06-13,345.44
546,82989,Changed my mind,2025-04-14,342.14
547,11685,Arrived damaged,2024-06-08,194.19
548,48218,Item defective,2025-04-04,408.87
549,3414,Wrong size,2024-02-08,368.98
550,96678,Changed my mind,2024-09-08,285.77
551,97229,Not as described,2023-04-17,352.74
552,77762,Changed my mind,2025-10-21,12.11
553,63272,Item defective,2023-11-19,421.27
554,3796,Not as described,2024-01-10,462.87
555,69440,Wrong size,2025-01-14,210.91
556,27780,Arrived damaged,2025-12-27,126.68
557,36890,Wrong size,2024-03-20,463.83
558,74383,Changed my mind,2025-06-25,37.47
559,17408,Changed my mind,2026-01-12,235.79
560,26290,Not as described,2023-01-24,323.87
561,75809,Not as described,2024-02-13,98.84
562,42617,Not as described,2024-09-07,135.39
563,96628,Item defective,2023-03-01,346.8
564,86180,Not as described,2024-08-01,269.38
565,79990,Item defective,2023-12-27,462.27
566,50392,Wrong size,2025-11-06,365.11
567,85140,Wrong size,2025-10-08,261.97
568,58185,Not as described,2023-07-07,39.16
569,47813,Wrong size,2026-05-16,298.5
570,37215,Changed my mind,2024-08-24,22.91
571,43022,Arrived damaged,2024-07-12,56.66
572,84678,Not as described,2026-04-21,493.95
573,57541,Arrived damaged,2026-01-07,247.03
574,33277,Wrong size,2026-03-17,38.86
575,22711,Not as described,2023-01-28,121.41
576,91557,Changed my mind,2025-11-09,324.6
577,77802,Not as described,2024-11-19,342.1
578,46116,Item defective,2025-12-05,436.14
579,51269,Changed my mind,2023-10-10,423.03
580,32566,Changed my mind,2025-11-28,304.67
581,40372,Arrived damaged,2025-12-28,173.8
582,86731,Changed my mind,2024-03-19,354.22
583,75067,Arrived damaged,2025-12-01,114.09
584,52595,Changed my mind,2023-09-03,415.98
585,64372,Arrived damaged,2026-01-27,35.11
586,76139,Changed my mind,2024-08-13,318.75
587,40211,Item defective,2025-12-01,66.5
588,58808,Not as described,2023-08-29,327.37
589,20252,Item defective,2026-05-04,364.22
590,39962,Not as described,2024-06-24,60.59
591,88255,Arrived damaged,2023-12-29,83.45
592,49182,Arrived damaged,2025-03-03,198.25
593,17514,Item defective,2024-08-21,321.1
594,83380,Changed my mind,2025-01-03,283.87
595,60603,Wrong size,2024-08-02,271.5
596,65042,Wrong size,2025-08-13,49.47
597,39350,Not as described,2024-01-28,373.63
598,51080,Not as described,2025-02-22,412.25
599,47213,Changed my mind,2023-06-27,480.93
600,20184,Wrong size,2023-07-17,433.76
601,31850,Changed my mind,2024-09-28,402.24
602,6916,Not as described,2023-02-06,172.73
603,93127,Wrong size,2023-03-23,16.83
604,22471,Not as described,2025-01-24,412.67
605,6762,Arrived damaged,2023-10-21,93.74
606,12149,Item defective,2023-09-25,161.96
607,23971,Item defective,2026-04-01,57.45
608,47289,Wrong size,2026-05-16,272.91
609,68732,Item defective,2025-10-08,19.0
610,21461,Changed my mind,2024-07-19,397.83
611,87023,Changed my mind,2025-08-19,71.82
612,23155,Arrived damaged,2026-03-07,359.12
613,73591,Wrong size,2023-08-11,367.54
614,42804,Changed my mind,2026-06-21,66.46
615,77469,Wrong size,2024-05-16,463.13
616,95085,Item defective,2024-08-10,50.09
617,28623,Changed my mind,2023-11-22,301.7
618,74179,Arrived damaged,2025-01-24,439.83
619,76086,Wrong size,2024-04-26,492.88
620,79819,Item defective,2023-04-22,86.67
621,61586,Changed my mind,2024-10-06,151.38
622,48407,Wrong size,2025-12-03,149.69
623,19658,Item defective,2023-01-30,273.8
624,5434,Item defective,2023-05-08,308.31
625,68443,Not as described,2025-06-16,54.54
626,85241,Changed my mind,2023-12-15,317.14
627,93047,Not as described,2024-02-09,348.86
